Time (s),Current (A)
935.47,0.0002933157
936.62,0.0002937318
937.8,0.0002939463
938.95,0.0002944609
940.08,0.0002947781
941.23,0.0002954271
942.37,0.0002957349
943.51,0.0002959604
944.66,0.0002960656
945.79,0.0002961975
946.94,0.0002961169
948.09,0.0002957846
949.22,0.0002955665
950.36,0.0002954042
951.5,0.0002952498
952.65,0.0002948978
953.79,0.0002946567
954.93,0.0002943989
956.08,0.0002940929
957.23,0.0002936609
958.36,0.0002931666
959.51,0.0002928363
960.66,0.0002926312
961.8,0.0002919593
962.94,0.0002915797
964.09,0.0002913231
965.24,0.000291082
966.38,0.0002908434
967.52,0.0002906889
968.7,0.000289849
969.84,0.0002902589
970.97,0.0002904183
972.11,0.0002908493
973.3,0.0002914082
974.44,0.0002921324
975.64,0.0002936366
976.78,0.0002940472
977.93,0.0002947155
979.07,0.0002952435
980.23,0.0002954453
981.38,0.0002956192
982.53,0.0002956355
983.69,0.0002956972
984.85,0.0002956642
985.99,0.0002956379
987.15,0.0002953888
988.3,0.0002950984
989.44,0.0002947985
990.6,0.0002944491
991.74,0.0002941005
992.9,0.0002936009
994.06,0.0002933244
995.22,0.000293088
996.38,0.0002925827
997.54,0.000292441
998.69,0.000292328
999.85,0.0002920531
1001.01,0.000291909
1002.17,0.0002919567
1003.33,0.0002918507
1004.48,0.0002916334
1005.64,0.0002915866
1006.78,0.0002916398
1007.92,0.0002918708
1009.07,0.0002921857
1010.22,0.0002921745
1011.37,0.000292841
1012.57,0.0002931513
1013.73,0.0002931968
1014.89,0.0002933354
1016.05,0.0002934984
1017.21,0.0002935708
1018.37,0.0002937299
1019.52,0.0002937521
1020.68,0.0002938133
1021.84,0.0002936367
1023.0,0.0002934777
1024.15,0.0002933706
1025.31,0.0002930261
1026.47,0.0002925371
1027.62,0.0002921491
1028.77,0.0002917316
1029.93,0.0002913001
1031.08,0.0002907078
1032.24,0.0002902649
1033.4,0.0002900424
1034.55,0.0002898936
1035.69,0.0002896253
1036.83,0.0002896284
1037.98,0.000289874
1039.12,0.0002901234
1040.28,0.0002902474
1041.44,0.0002906999
1042.6,0.000291206
1043.75,0.0002918329
1044.9,0.0002922606
1046.07,0.0002929773
1047.22,0.0002933448
1048.37,0.0002938247
1049.53,0.0002941873
1050.69,0.0002944723
1051.84,0.000294604
1052.99,0.0002945161
1054.14,0.0002945116
1055.31,0.0002943556
1056.46,0.0002940922
1057.62,0.0002937333
1058.76,0.000293432
1059.91,0.0002930576
1061.07,0.0002925933
1062.21,0.0002921633
1063.35,0.0002918391
1064.5,0.0002914061
1065.66,0.0002909996
1066.81,0.0002906281
1067.97,0.0002904759
1069.12,0.0002901553
1070.27,0.0002898936
1071.43,0.0002897197
1072.59,0.0002896435
1073.74,0.0002895809
1074.89,0.000289689
1076.05,0.0002899123
1077.2,0.0002903499
1078.37,0.0002906736
1079.52,0.0002910873
1080.68,0.0002915758
1081.82,0.0002918233
1082.98,0.0002922022
1084.14,0.0002924938
1085.3,0.0002928619
1086.43,0.0002930249
1087.59,0.0002933974
1088.74,0.0002933719
1089.88,0.0002934193
1091.04,0.000293505
1092.2,0.0002934911
1093.35,0.0002934446
1094.51,0.0002933253
1095.67,0.0002933096
1096.81,0.0002931833
1097.94,0.0002927559
1099.09,0.0002925756
1100.24,0.0002920461
1101.38,0.0002915742
1102.55,0.0002909371
1103.69,0.0002904753
1104.85,0.0002899827
1106.01,0.0002895695
1107.16,0.0002892989
1108.3,0.0002890037
1109.45,0.0002889628
1110.6,0.0002891267
1111.75,0.000289169
1112.91,0.0002893617
1114.07,0.0002897159
1115.22,0.0002899978
1116.38,0.0002904464
1117.54,0.0002909289
1118.7,0.0002912837
1119.85,0.0002915861
1121.0,0.0002918496
1122.16,0.0002923005
1123.3,0.0002923779
1124.45,0.0002924827
1125.61,0.0002926967
1126.77,0.000292863
1127.93,0.0002929944
1129.08,0.0002930007
1130.25,0.0002930395
1131.4,0.000292994
1132.56,0.0002929859
1133.71,0.0002928303
1134.87,0.0002926718
1136.03,0.0002926106
1137.17,0.0002923197
1138.32,0.0002920633
1139.46,0.0002917834
1140.61,0.0002915656
1141.77,0.0002911412
1142.93,0.0002909018
1144.09,0.0002907332
1145.23,0.0002906372
1146.39,0.0002906943
1147.54,0.0002906171
1148.69,0.0002908535
1149.85,0.0002909502
1150.99,0.0002909666
1152.15,0.0002909131
1153.29,0.0002910146
1154.44,0.000290943
1155.61,0.0002910102
1156.76,0.0002908893
1157.92,0.0002909233
1159.08,0.0002908711
1160.24,0.0002907149
1161.38,0.0002905506
1162.53,0.0002905368
1163.69,0.000290635
1164.85,0.000290597
1166.01,0.0002905239
